,acc
0,21.82182182182182
1,25.31265632816408
2,27.875958652884293
3,29.75743935983996
4,31.16623324664933
5,32.67211201866978
6,34.190598656950996
7,35.24190523815477
8,36.03733748194244
9,36.643664366436646
10,37.34884989544504
11,38.1531794316193
12,38.8568351411647
13,39.42424458889921
14,39.922661510767384
15,40.54628414275892
16,40.920054120830635
17,41.50230568364909
18,42.05484499184168
19,42.542127106355316
20,42.86394590218582
21,43.25651165962089
22,43.71059611287447
23,44.12683861827576
24,44.613784551382054
25,44.94788261086965
26,45.327604726100965
27,45.651630415371976
28,45.98434428773406
29,46.22820760692023
30,46.507951869415145
31,46.73583549485922
32,46.952937967817206
33,47.23374216888732
34,47.421354895854165
35,47.69021361704492
36,47.84183356306927
37,48.00652648753915
38,48.2704684735506
39,48.50121253031326
40,48.67923607892875
41,48.88925926807781
42,49.03137282262378
43,49.257937680401824
44,49.49221093802085
45,49.67499293462901
46,49.90957254409668
47,50.08646013458614
48,50.298985693585585
49,50.503010060201206
50,62.06206206206206
51,61.93096548274137
52,61.68722907635878
53,61.66541635408852
54,61.3122624524905
55,61.49358226371062
56,61.26589512787541
57,61.10763845480685
58,61.20680075563951
59,61.45614561456146
60,61.45104100372761
61,61.946828902408534
62,61.86629740749289
63,61.982998785627544
64,62.097473164877655
65,62.1101318832427
66,62.23307253367845
67,62.25345852547364
68,62.28222538028317
69,62.48812440622031
70,62.5553597790371
71,62.53011500522751
72,62.49402147919475
73,62.6317763240135
74,62.67050682027281
75,62.86011000423093
76,62.93196044297937
77,63.041537197757066
78,63.18148901686265
79,63.35544518150605
80,63.39559340623891
81,63.43635738616832
82,63.44131640352738
83,63.50186770199124
84,63.47609931712335
85,63.53787605211256
86,63.63685505013649
87,63.654306692281374
88,63.79394343444704
89,63.83409585239631
90,63.79423888387522
91,63.820567156360866
92,63.88985790367218
93,63.94236232641651
94,64.02586724149425
95,64.07965390551969
96,64.1545564799251
97,64.24300506260548
98,64.32988428335273
99,64.42128842576851
100,67.76776776776777
101,68.7343671835918
102,68.52284094698233
103,68.04201050262566
104,67.99359871974394
105,68.3113852308718
106,68.09544220602943
107,68.05850731341418
108,67.99644404933882
109,67.99679967996799
110,68.06073279389035
111,67.98899908325694
112,68.07446726671283
113,68.02628759197086
114,68.10454030268684
115,68.11675729733108
116,68.27460438849344
117,68.29823879104394
118,68.24043370703721
119,68.20341017050852
120,68.26991761512453
121,68.28037638074458
122,68.40732205748076
123,68.47785324388516
124,68.58674346973879
125,68.59494595945998
126,68.70254453868662
127,68.72745455194828
128,68.7506465740198
129,68.79895996533217
130,68.81834897899932
131,68.89277789930935
132,68.88996636261705
133,68.93732168593193
134,69.06768764821852
135,69.10747520764465
136,69.07213708478608
137,69.10971341351089
138,69.1684402164158
139,69.20173004325108
140,69.18217517500428
141,69.20879068549252
142,69.21556315263146
143,69.29702947794269
144,69.3770972688282
145,69.45368377573425
146,69.50998957424626
147,69.6327006812642
148,69.69121818812629
149,69.82139642792856
150,73.37337337337337
151,73.88694347173586
152,73.22440813604535
153,73.69342335583896
154,72.9745949189838
