,acc
0,20.82082082082082
1,23.1615807903952
2,23.707902634211404
3,24.656164041010253
4,25.66513302660532
5,26.2710451741957
6,27.146735247892558
7,27.640955119389925
8,28.069785531725746
9,28.662866286628663
10,29.09355395945086
11,29.544128677389782
12,29.7407492884068
13,30.273590970783626
14,30.615374358290552
15,31.020688793049565
16,31.448908759338785
17,31.746208122673483
18,32.301700089478395
19,32.52162608130406
20,32.94918805657412
21,33.142415564343835
22,33.527544675855474
23,33.938914121421725
24,34.28537141485659
25,34.60133082041617
26,34.83832734545724
27,35.04410871816851
28,35.20121383495982
29,35.41118037267909
30,35.71082938159295
31,35.95424857026782
32,36.15564108003273
33,36.365775463984235
34,36.575330723734965
35,36.76491013639268
36,36.93343063326036
37,37.056238322061105
38,37.28300725659632
39,37.52593814845371
40,37.649698773140805
41,37.85328222100526
42,37.99158119956278
43,38.109957044478286
44,38.31418475966132
45,38.481271331985475
46,38.71997276537799
47,38.89247692660264
48,39.07018510581849
49,39.256785135702714
50,50.150150150150154
51,49.724862431215605
52,49.849949983327775
53,49.21230307576894
54,48.92978595719144
55,49.00816802800467
56,49.078439777111015
57,49.18114764345543
58,49.21657961995777
59,49.114911491149115
60,49.21356486953359
61,49.354112842736896
62,49.488422186322026
63,49.49639259947139
64,49.423294886325756
65,49.621851365710356
66,49.77351608918172
67,49.869437190955054
68,49.95526080320017
69,49.897494874743735
70,49.97857040811467
71,50.14318832674213
72,50.18913865820253
73,50.2812617192383
74,50.45401816072643
75,50.55579060733105
76,50.638912552316754
77,50.730383227972425
78,50.77761302113866
79,50.785026167538916
80,50.856479241265845
81,50.917216163005094
82,50.94699839389072
83,50.97796994029236
84,51.05860167433355
85,51.14030945304036
86,51.17705883942809
87,51.21713729308666
88,51.33208543808816
89,51.40878521963049
90,51.4329617795556
91,51.51789328317341
92,51.55236168282983
93,51.589808859292255
94,51.707815729238426
95,51.80764799234766
96,51.896848869124874
97,51.98441634200712
98,52.07453213330884
99,52.14104282085642
100,58.05805805805806
101,56.928464232116056
102,57.3191063687896
103,57.689422355588896
104,56.75135027005401
105,56.926154359059844
106,56.979568509787114
107,56.88211026378297
108,56.7840871207912
109,56.8956895689569
110,56.914264933175744
111,56.87140595049588
112,56.81975536579737
113,56.9254946781913
114,56.863790919394624
115,56.9348084255266
116,56.9209953526678
117,56.91982887938219
118,57.050371072161695
119,57.05785289264463
120,57.20748607076528
121,57.275330696849856
122,57.37640766989869
123,57.39405808575357
124,57.40629625185007
125,57.56375245201738
126,57.52805659468869
127,57.548483874424086
128,57.59508948584434
129,57.68525617520584
130,57.80186457627666
131,57.77368042751336
132,57.786599593927086
133,57.778169946174884
134,57.83308094516986
135,57.865496263785104
136,57.86372604664991
137,57.82257427827048
138,57.93481884150876
139,58.00145003625091
140,57.974584745969416
141,58.03947713040787
142,58.066466662015394
143,58.12177549489761
144,58.14351430031778
145,58.2338746494489
146,58.31400668099321
147,58.36788266422217
148,58.40323271903508
149,58.49916998339967
150,60.56056056056056
151,63.03151575787894
152,62.72090696898967
153,63.415853963490875
154,62.93258651730346
155,62.47707951325221
156,62.12316045149307
157,62.03275409426178
158,62.15135015001667
159,62.0962096209621
160,62.0874624965906
161,62.113509459121595
162,62.23555658127548
163,62.090149296378314
164,62.06413760917395
165,62.022626414150885
166,62.01541267133361
167,61.97566531473971
168,62.08221485341334
169,62.098104905245265
170,62.19343778275156
171,62.13918814491568
172,62.14183225357624
173,62.18175757323222
