,acc
0,12.312312312312311
1,10.905452726363182
2,11.170390130043348
3,10.72768192048012
4,10.322064412882577
5,10.401733622270378
6,10.487212458922704
7,10.438804850606326
8,10.390043338148683
9,10.27102710271027
10,10.237294299481771
11,10.025835486290525
12,10.100776982844835
13,10.043574541038646
14,9.873991599439963
15,9.856866054128384
16,9.84763809635861
17,9.750541696760932
18,9.711037423022264
19,9.770488524426222
20,9.70522405828849
21,9.677712623301058
22,9.656941606156789
23,9.62123421809242
24,9.600384015360614
25,9.588830339628448
26,9.581836364309789
27,9.50391085395907
28,9.455498465464327
29,9.45031501050035
30,9.448691893286881
31,9.42529454045439
32,9.415436831419134
33,9.400276478719963
34,9.40026857910226
35,9.36137114919859
36,9.373226303413606
37,9.34761441090555
38,9.354086002205184
39,9.340233505837645
40,9.324617673601795
41,9.281173361270506
42,9.293239377659946
43,9.316120820927749
44,9.344652103380074
45,9.367594947716254
46,9.342751973446244
47,9.31061063772162
48,9.277740362048204
49,9.276185523710474
50,8.508508508508509
51,8.454227113556778
52,9.203067689229742
53,9.502375593898474
54,9.321864372874575
55,9.434905817636272
56,9.04414916416631
57,9.08863607950994
58,9.056561840204466
59,8.88088808880888
60,8.982634784980453
61,8.825735477956496
62,8.80836987460574
63,8.864918922780198
64,8.780585372358157
65,8.750546909181823
66,8.706394493793752
67,8.706039224401355
68,8.72677509342597
69,8.675433771688585
70,8.776608409924282
71,8.718578117187144
72,8.752554458889517
73,8.700362515104796
74,8.684347373894957
75,8.634947497980692
76,8.670691507092855
77,8.711025393764062
78,8.724438773750819
79,8.690289676322545
80,8.706732475241138
81,8.728397762430076
82,8.724506803236462
83,8.735551045618989
84,8.743106945912741
85,8.769688046890192
86,8.765101759507013
87,8.776546751230295
88,8.76945562706736
89,8.755218880472011
90,8.729481206858704
91,8.714493202219101
92,8.735086862485174
93,8.747926089229301
94,8.762416942598724
95,8.798017348203222
96,8.800187238026341
97,8.798099960415842
98,8.792016163595175
99,8.80017600352007
100,6.506506506506507
101,7.703851925962981
102,8.702900966988997
103,8.802200550137535
104,8.541708341668334
105,8.618103017169528
106,8.586940991570224
107,8.626078259782473
