,acc
0,20.12012012012012
1,24.0120060030015
2,26.175391797265757
3,28.33208302075519
4,29.96599319863973
5,31.238539756626103
6,32.347478211173026
7,33.241655206900866
8,34.048227580842315
9,34.73347334733474
10,35.31230111828348
11,36.10300858404867
12,36.74898069082237
13,37.28123437388385
14,37.80918727915194
15,38.40865054065879
16,39.20230601800106
17,39.61331185065837
18,40.00736880888468
19,40.40702035101755
20,40.773370160483836
21,41.10641392790581
22,41.54528457759033
23,41.94341430892954
24,42.47369894795792
25,42.91703527058733
26,43.320122967517314
27,43.70870388228151
28,43.96358495120521
29,44.41148038267942
30,44.70466789251266
31,45.12953529797806
32,45.35591987635989
33,45.642518897614636
34,45.904168690534014
35,46.162393399816665
36,46.3499013486851
37,46.648596015684625
38,46.906330931562344
39,47.12617815445386
40,47.35969169979756
41,47.69875473225553
42,47.90576525035466
43,48.15109434305325
44,48.421076023911645
45,48.66410139350855
46,48.892529628289964
47,49.107273068188924
48,49.360191024306616
49,49.594991899838
50,60.06006006006006
51,60.780390195097546
52,60.42014004668223
53,60.89022255563891
54,60.532106421284254
55,60.59343223870645
56,60.72296042291756
57,60.95761970246281
58,61.140126680742306
59,61.56615661566157
60,61.31466496954268
61,61.338444870405866
62,61.31240864681899
63,61.340095721122935
64,61.36409093939596
65,61.55384711544472
66,61.71539502323666
67,61.72009556086449
68,61.824306542449605
69,61.81309065453273
70,61.89342349635697
71,61.99827264875676
72,62.111396147658596
73,62.25259385807742
74,62.36249449977999
75,62.41393899765376
76,62.391199674062
77,62.48080288581735
78,62.55732956308838
79,62.60875362512084
80,62.705248556405046
81,62.77696178005563
82,62.82614624685596
83,62.80772963910703
84,62.841795479870854
85,62.82952304230673
86,62.88007783994162
87,62.89376036211479
88,63.001615426036565
89,63.001575039375986
90,62.982023951803704
91,63.00626205385843
92,63.0619316728296
93,63.078706334234866
94,63.13695859907998
95,63.220939585643166
96,63.27581437902934
97,63.376320340007084
98,63.43598848956101
99,63.52127042540851
100,67.26726726726727
101,68.23411705852926
102,67.72257419139713
103,67.6419104776194
104,67.93358671734347
105,67.64460743457244
106,67.53821974567795
107,67.72096512064007
108,67.51861317924214
109,67.70677067706771
110,67.73343031184653
111,67.59729977498125
112,67.62827909839218
113,67.47624830345025
114,67.39115941062738
115,67.45421588849302
116,67.49808812283075
117,67.49263847991556
118,67.34564977104058
119,67.32336616830841
120,67.29844278298967
121,67.37578980862766
122,67.52902300100004
123,67.6486520271678
124,67.65070602824113
125,67.69875764452479
126,67.70991518204377
127,67.78099217829208
128,67.82992516983344
129,67.89226307543585
130,67.92477176683119
131,67.9521235038595
132,67.94448316615654
133,67.98729374393365
134,68.03051515757593
135,68.05189033028695
136,68.08021838428066
137,68.10968709702887
138,68.13251621836457
139,68.099202480062
140,68.09922193224224
141,68.13019357603753
142,68.16670155119887
143,68.21745948771563
144,68.20151558923531
145,68.25365768821061
146,68.32273027085682
147,68.39100814600305
148,68.42588624257638
149,68.51937038740775
150,71.77177177177177
151,71.58579289644823
152,72.29076358786261
153,71.86796699174793
154,71.35427085417084
155,71.47857976329388
156,71.31018716959565
157,71.38392299037379
158,71.39682186909657
159,71.32713271327133
160,71.29739067187926
161,70.98091507625635
162,70.84391107008231
163,70.69790699335667
164,70.6247083138876
165,70.74192137008563
166,70.72768986410965
167,70.77059836657592
168,70.77740933733354
169,70.69853492674633
170,70.69384256393161
171,70.66684849311332
172,70.71177007695987
173,70.67794491437144
174,70.80283211328454
175,70.80272318166084
176,70.7692877513982
177,70.77038465659489
178,70.84727059553778
179,70.8790293009767
180,70.90873899158038
181,70.91784118253696
182,70.89911815509561
183,70.91385040736492
184,70.9391696905626
185,70.9658601627823
186,70.94245790426768
187,70.97028869180768
188,70.95822969819739
189,70.92677316932924
190,70.8968511427108
191,70.9231172170766
192,70.92955650131398
193,70.9743403259165
194,71.01268917087046
195,71.071110241527
196,71.05895870124897
197,71.08898102043793
198,71.13614563562521
199,71.19942398847977
200,72.77277277277277
201,73.83691845922961
202,73.05768589529843
203,73.16829207301825
204,73.374674934987
205,73.36222703783965
206,73.19617088155451
207,73.12164020502563
208,73.00811201244582
209,72.77727772777278
210,72.80661878352578
211,72.85607133927827
212,72.72097853681052
213,72.81948710622187
214,72.75151676778452
215,72.75454715919744
216,72.91605388552267
217,72.93738541030058
218,72.85120269487868
219,72.73363668183408
220,72.77965617410352
221,72.85331151415973
222,72.89882168789947
223,72.96970707112797
224,73.00292011680467
225,72.98742259317666
