,acc
0,22.02202202202202
1,25.91295647823912
2,27.70923641213738
3,30.20755188797199
4,31.86637327465493
5,32.82213702283714
6,33.56193741963138
7,34.86685835729466
8,35.77064118235359
9,36.503650365036506
10,37.194290390035455
11,37.878156513042754
12,38.61066235864297
13,39.25280377169798
14,39.7226481765451
15,40.27126695418464
16,40.71415965645038
17,41.22451247291516
18,41.70745828727828
19,42.28211410570528
20,42.70679556169341
21,43.13832446929406
22,43.67581199182573
23,44.20184174340598
24,44.62578503140126
25,44.97865302511635
26,45.39057002111189
27,45.698060645023034
28,46.029173419773095
29,46.388212940431345
30,46.788606084067226
31,46.99834369824057
32,47.27112942816449
33,47.492573310979736
34,47.72993514100403
35,47.987444095669325
36,48.18508608340766
37,48.377588883918
38,48.58586117592759
39,48.8187204680117
40,49.04265957706286
41,49.220219529036406
42,49.39417195748738
43,49.60794563512807
44,49.75221671592702
45,50.005434900758715
46,50.2776654822443
47,50.505218858726224
48,50.74797444845813
49,50.929018580371604
50,61.86186186186186
51,60.8304152076038
52,60.653551183727906
53,61.465366341585394
54,61.092218443688736
55,61.6269378229705
56,61.68024003429061
57,61.74521815226903
58,62.018002000222246
59,62.066206620662065
60,62.17837985271388
61,61.96349695807984
62,61.96630510039234
63,62.20444317451246
64,62.3374891659444
65,62.3476467279205
66,62.6154479675275
67,62.52014000777821
68,62.682246434022844
69,62.623131156557825
70,62.80299061860089
71,62.85740260920951
72,62.959259098221665
73,63.04012667194466
74,63.11052442097684
75,63.213969768068004
76,63.1653024186081
77,63.216543447980285
78,63.28838925480189
79,63.345444848161605
80,63.46656343753024
81,63.492609144035754
82,63.520106669899086
83,63.50775022794788
84,63.54467270493443
85,63.5823217311592
86,63.607124516878834
87,63.63851680307376
88,63.73753173158286
89,63.76909422735569
90,63.88448498743872
91,63.92771256458487
92,64.00613967766692
93,64.03327348348826
94,64.09475766128136
95,64.17096023826605
96,64.27158024638823
97,64.33884039250817
98,64.40947774444376
99,64.46728934578691
100,68.06806806806807
101,69.53476738369184
102,68.5561853951317
103,68.14203550887721
104,67.55351070214043
105,67.5779296549425
106,67.80968709815689
107,67.64595574446805
108,67.85198355372819
109,67.54675467546755
110,67.66069642694791
111,67.78898241520126
112,67.6667435956612
113,67.60482891635117
114,67.52450163344223
115,67.5604725295331
116,67.61574210247662
117,67.67042613478526
118,67.69303647560398
119,67.52837641882094
120,67.74608314681652
121,67.67580344561117
122,67.7333797121614
123,67.83615983999333
124,67.83071322852913
125,67.89876533712835
126,67.90992258972554
127,67.96314154076931
128,67.97820614503948
129,68.12893763125437
130,68.16994096583761
131,68.19275602362573
132,68.15661080638807
133,68.14318068178476
134,68.17623360667447
135,68.23245090141393
136,68.14778777804806
137,68.21232137687834
138,68.19918459447678
139,68.16920423010575
140,68.18458986804556
141,68.25876806590634
142,68.28065768971372
143,68.24473283483715
144,68.2681837374164
145,68.32322441792213
146,68.40783846464818
147,68.39517489947707
148,68.47078511806363
149,68.47936958739174
150,70.57057057057057
151,70.48524262131066
152,70.5568522840947
153,70.39259814953738
154,70.31406281256251
155,70.07834639106518
156,70.13859122731819
157,69.92124015501938
158,70.06334037115235
159,70.19701970197019
160,70.47004273115738
161,70.47253937828152
162,70.2438649126856
163,70.24073148082006
164,70.16467764517634
165,70.03562722670166
166,70.0041178892876
167,70.16500916717595
168,70.19843149639455
169,70.20851042552128
170,70.25096433163483
171,70.21682803763808
172,70.15087612504891
173,70.21959248302012
174,70.3148125925037
175,70.37962998576869
176,70.4248305492796
177,70.46323082967248
178,70.46794717059208
179,70.42234741158039
180,70.48937062485886
181,70.4709522172568
182,70.43849813630716
183,70.42560075296332
184,70.40201148604245
185,70.51584766243506
186,70.54785264466607
187,70.48869707097555
188,70.512064411908
189,70.53426335658392
190,70.58464840605869
191,70.59691897426129
192,70.61094444056839
193,70.60160458192232
194,70.60156892375386
195,70.66240570447184
196,70.70788740185961
197,70.74522385883039
198,70.75858690993694
199,70.79741594831897
200,70.97097097097097
201,71.68584292146073
202,72.45748582860953
203,72.11802950737685
204,71.7743548709742
205,71.89531588598099
206,72.2674667809687
207,72.30903862982873
208,72.14134903878208
209,72.24722472247225
210,72.30657332484772
211,72.33936161346779
212,72.52096315101161
213,72.34088149153511
214,72.4048269884659
215,72.38577411088193
216,72.42190717101006
217,72.49847213734097
218,72.44591820622138
219,72.50862543127157
220,72.50821467688938
221,72.47602163734715
222,72.52054437149441
223,72.56552356348182
224,72.67490699627984
225,72.72202777029885
226,72.70269269232193
227,72.7525983070824
228,72.81975240525536
229,72.85576185872863
230,72.8668666731185
231,72.84602643832619
232,72.85372284008606
233,72.8521427100797
234,72.83350952884368
235,72.88535792660907
236,72.87494256601529
237,72.84665385931208
238,72.76084002153901
239,72.73431835795895
240,72.77494573038366
241,72.80649539274745
242,72.89239284634526
243,72.90847519261801
244,72.86384141869819
245,72.87767125372291
246,72.91218962105577
247,72.94735306985562
248,72.98516296250943
249,73.01546030920619
250,74.17417417417417
251,74.73736868434217
252,74.92497499166389
253,74.19354838709677
254,74.03480696139228
255,74.12902150358393
256,74.41063009001286
257,74.52181522690336
258,74.29714412712524
259,74.42744274427443
260,74.1885625965997
261,74.23951995999667
262,74.06723594122624
263,74.048146296164
264,74.05827055137009
265,74.15463466466655
266,74.23966115653862
267,74.27079282182343
268,74.28285699247328
269,74.35371768588429
270,74.42259155197867
271,74.43065593890631
272,74.44671507456846
273,74.48643693487229
274,74.39897595903837
275,74.52594330551175
276,74.53979777028779
277,74.61695060537876
278,74.54050139659988
279,74.66248874962498
280,74.64111745540178
281,74.60545642051314
282,74.5537743567987
283,74.53748639665872
284,74.51070030572302
285,74.53262590627517
286,74.5506635314468
287,74.57038343114293
288,74.50447447370445
289,74.4868621715543
290,74.535964291812
291,74.53986999690468
292,74.56917602734947
293,74.5221482306416
294,74.54387875286118
295,74.51683732255049
296,74.57392710483202
297,74.61822121294193
298,74.605604196004
299,74.6294925898518
300,75.77577577577577
301,74.93746873436719
302,76.09203067689229
303,76.34408602150538
304,76.35527105421085
305,76.09601600266711
306,75.99657093870553
307,75.93449181147643
308,75.83064784976108
309,75.44754475447544
310,75.48868078916266
311,75.26460538378198
312,75.098084468036
313,75.19108507750553
314,75.0583372224815
315,75.19219951246953
316,75.21618918759927
317,75.12639591088394
318,75.15132375388178
319,75.2437621881094
320,75.23691604362112
321,75.23069230419564
322,75.27718596460716
323,75.27813658902454
324,75.33501340053603
325,75.40290011154275
326,75.42131190044076
327,75.42412229008178
328,75.43363564260837
329,75.56251875062502
330,75.56695377270235
331,75.5367355229851
332,75.43864965605019
333,75.43457160504721
334,75.40786879625132
335,75.4048723575655
336,75.42366009892159
337,75.42830074475644
338,75.43783173927537
339,75.39688492212305
340,75.39208273372522
341,75.44227243505797
342,75.420358612991
343,75.45626036955386
344,75.48167737060824
345,75.51033718124307
346,75.49947871231302
347,75.52865684701764
348,75.60562460458377
349,75.5895117902358
350,76.67667667667668
351,78.13906953476739
352,77.95931977325775
353,77.66941735433859
354,77.51550310062012
355,77.49624937489581
356,77.2253179025575
357,77.3096637079635
358,77.10856761862429
359,77.10771077107711
360,77.1706518774434
361,77.08142345195434
362,76.99823063312563
363,76.99835702550182
364,76.95846389759318
365,77.1048190511907
366,77.15747985175598
367,77.13761875659759
368,77.13037528290963
369,77.20386019300965
370,77.25605981237202
371,77.18532660575481
372,77.21205269794339
373,77.24071836326513
374,77.17108684347374
375,77.26066387168737
376,77.22878625134264
377,77.25990213936213
378,77.21300734508087
379,77.26924230807694
380,77.24442723958838
381,77.12428513391043
382,77.09627564471651
383,77.06109003205977
384,77.04220120574874
385,77.06880746687408
386,76.96964782831968
387,76.90991868207058
388,76.94043437011206
389,76.90692267306683
390,76.92138832654454
391,76.99469034977024
392,76.93202167492267
393,76.95402168231097
394,76.98837751950043
395,77.01906563186157
396,77.00802144726484
397,77.0161878372466
398,77.03626604624584
399,77.07754155083101
400,78.97897897897897
401,78.28914457228615
402,78.62620873624542
403,78.89472368092024
404,78.61572314462893
405,78.56309384897483
406,78.42548935562223
407,78.67233404175522
408,78.37537504167129
409,78.13781378137814
410,77.8707155195927
411,77.82315192932744
412,77.77521347795984
413,77.57696978355597
414,77.60517367824522
415,77.64860303768985
416,77.55750338255191
417,77.44874715261959
418,77.40933733354387
419,77.36886844342217
420,77.42273441592457
421,77.39897268057639
422,77.42510543936693
423,77.42405933580565
424,77.36709468378736
425,77.3760529251125
426,77.44360902255639
427,77.4099074966963
428,77.44060140004828
429,77.47924930831027
430,77.47991870705506
431,77.43991999749993
432,77.44477105366829
433,77.36404011882702
434,77.32506643046945
435,77.30214728186894
436,77.28316981540041
437,77.2336114108266
438,77.23274955768096
439,77.27443186079653
440,77.31164174735969
441,77.3351746470154
442,77.31342589362544
443,77.33812132093911
444,77.31060690237561
445,77.28646274919019
446,77.35483733696462
447,77.33911123148398
448,77.40362048205066
449,77.39154783095663
450,76.77677677677677
451,77.48874437218609
452,78.2594198066022
453,78.46961740435108
454,78.31566313262653
455,78.3797299549925
456,78.23974853550507
457,78.34729341167646
458,78.30870096677408
459,78.13781378137814
460,78.25256841531048
461,78.20651720976748
462,78.23678744518809
463,78.04128866347597
464,78.10520701380092
465,78.03612725795362
466,77.98105770927701
467,78.01544530251681
468,77.91989052055371
469,78.08390419520975
470,78.10848135625506
471,77.96263466521205
472,77.90773511891821
473,77.91991332972208
474,77.91511660466419
475,77.91068887264895
476,77.90288529204786
477,77.94206935961999
478,77.98199937928894
479,78.10260342011401
480,78.10251943611084
481,78.0774399199975
482,78.0053941028516
483,77.94346892555663
484,77.88222520643447
485,77.87160754465401
486,77.85345549879726
487,77.84678544172215
488,77.84558578425087
489,77.8494462361559
490,77.9043391302227
491,77.91137884235339
492,77.85064768948115
493,77.83813268483375
494,77.8706193470966
495,77.86473618991717
496,77.83995404157535
497,77.84120502510468
498,77.87097695871344
499,77.88755775115503
500,79.27927927927928
501,79.63981990995498
502,78.62620873624542
503,78.66966741685421
504,78.49569913982796
505,78.56309384897483
506,78.63980568652664
507,78.89736217027128
508,78.54206022891432
509,78.5978597859786
510,78.62532957541595
511,78.54821235102925
512,78.56758212170168
513,78.41274376741195
514,78.28521901460097
515,78.32989561847616
516,78.3281369492323
517,78.21545641424524
518,78.19885257118796
519,78.25891294564728
520,78.24658317062718
521,78.2171916905314
522,78.22948823861907
523,78.21159214967291
524,78.1551262050482
525,78.21070041155428
526,78.21771176710249
527,78.21350762527233
528,78.30959688265112
529,78.31927730924365
530,78.21865221458756
531,78.29619675614863
532,78.21146095336222
533,78.16112238595252
534,78.16223320666305
535,78.1271701991722
536,78.09400254060921
537,78.12310850285535
538,78.10456678376369
539,78.13695342383559
540,78.1262957633113
541,78.10900259529988
542,78.1018163213098
543,78.12904838746336
544,78.16173692748728
545,78.1908302354399
546,78.22932402817081
547,78.2370466051376
548,78.25873997428519
549,78.25556511130223
550,78.37837837837837
551,80.49024512256128
552,80.6268756252084
553,80.12003000750188
554,79.65593118623725
555,79.59659943323888
556,79.72567509644234
557,79.69746218277285
558,79.78664296032892
559,79.70797079707971
560,79.70724611328302
561,79.78998249854155
562,79.69074544195708
563,79.54139581398671
564,79.55863724248283
565,79.3862116382274
566,79.24583799047002
567,79.00994499694427
568,78.99363124374968
569,78.94894744737236
570,78.95137863707795
571,78.99904541115505
572,78.9816948562981
573,78.91995499812492
574,78.87915516620664
575,78.8953421285434
576,78.93255305752065
577,78.89924640165721
578,78.94754991551433
