,wc
407,1.7404338
408,1.648824
409,1.6494284
410,1.7574614
411,1.9550622
412,1.8751318
413,1.7676535
414,1.4952116
415,1.7639253
416,1.6848625
417,1.7683764
418,1.7081019
419,1.6860198
420,1.6369683
421,1.6494234
422,1.5868418
423,1.7379447
424,1.6096423
425,1.7579498
426,1.7036912
427,1.4170537
428,1.8292756
429,1.4089326
430,1.6644477
431,1.9245746
432,1.7210937
433,1.6490725
434,1.7158326
435,1.5813978
436,1.729679
437,1.5781107
438,1.722822
439,1.671688
440,1.7014134
441,1.6975133
442,1.5810156
443,1.7171535
444,1.7326665
445,1.7054892
446,1.5251614
447,1.4991739
448,1.5364015
449,1.4482149
450,1.5409312
451,1.4576722
452,1.4910363
453,1.6606834
454,1.5773022
455,1.5179952
456,1.54823
457,1.6085086
458,1.627973
459,1.6304398
460,1.9139788
461,1.7955159
462,1.9455377
463,1.7719065
464,1.5443994
465,1.570965
466,1.5622652
467,1.5857375
468,1.7446287
469,1.6176263
470,1.5511881
471,1.5491097
472,1.8201729
473,1.7983928
474,1.5516568
475,1.6359817
476,1.4679016
477,1.6581175
478,1.6431965
479,1.603773
480,1.7411227
481,1.6309345
482,2.0765588
483,1.8292042
484,1.8475748
485,1.8022666
486,1.7223287
487,1.789661
488,1.6100867
489,1.7975291
490,1.7705238
491,1.5551046
492,1.5980374
493,1.6308204
494,1.6538386
495,1.8061484
496,1.5967315
497,1.7681447
498,1.5752507
499,1.7009292
500,1.838025
501,1.827951
502,1.5589652
503,1.6637862
504,1.6589265
505,1.5812218
506,1.8493564
507,1.5346155
508,1.5766238
509,1.7535479
510,1.4868765
511,1.5245184
512,1.9296385
513,2.00718
514,1.7587329
515,1.6793215
516,1.5475526
517,1.6498737
518,1.7495475
519,1.5191559
520,1.9353158
521,1.8308789
522,1.6473734
523,1.439327
524,1.6409554
525,1.6769079
526,1.6751442
527,1.5276854
528,1.7403445
529,1.5766364
530,1.5219675
531,1.7021582
532,1.7963465
533,1.759073
534,1.6628292
535,1.9215428
536,1.4724362
537,1.6476831
538,1.7958304
539,1.7192656
540,1.6506448
541,1.7155163
542,1.4357424
543,1.6916252
544,1.5798743
545,1.6269528
546,1.7797024
547,1.5834043
548,1.594459
549,1.5298856
550,1.6391985
551,1.7866429
552,1.7223928
553,1.7157748
554,1.4917369
555,1.744937
556,1.4697354
557,1.8285419
558,1.7326136
559,1.689513
560,1.7054935
561,1.6784097
562,1.8293626
563,1.9175484
564,1.7013744
565,1.7127476
566,1.6707271
567,1.5800544
568,1.7905649
569,1.7989227
570,1.8188334
571,1.6728705
572,1.6356728
573,1.7353874
574,1.666364
575,1.5962837
576,1.6233023
577,1.6215036
578,1.9202955
579,1.6908065
580,1.610323
581,1.7670288
582,1.6408398
583,1.7349465
584,1.9158762
585,1.8808513
586,1.8724794
587,1.8065945
588,1.6171211
589,1.7627895
590,1.5387086
591,1.5582715
592,1.5536572
593,1.8468589
594,1.4166665
595,1.5724628
596,1.4929736
597,1.7755861
598,1.5991913
599,1.6278602
600,1.8895367
601,1.4438946
602,1.734912
603,1.8735962
604,1.7055733
605,1.5776857
606,1.417969
607,1.6380991
608,1.7889316
609,1.6630869
610,1.8041061
611,1.613746
612,1.7120346
613,1.773467
614,1.6394471
615,1.6451946
616,1.7040148
617,1.8022474
618,1.6454577
619,1.6140654
620,1.7094644
621,1.6343318
622,1.7329595
623,1.3516514
624,1.5107013
625,1.6363523
626,1.5852866
627,1.5192666
628,1.6084964
629,1.626247
630,1.8088382
631,1.565658
632,1.7165712
633,1.6736356
634,1.9190794
635,1.6427783
636,1.5344027
637,1.7313147
638,1.4261072
639,1.8781346
640,1.620502
641,1.4801159
642,1.6908346
643,1.9007082
644,1.7050632
645,1.7415241
646,1.7707559
647,1.648826
648,1.8463874
649,1.6462221
650,1.7220771
651,1.4876157
652,1.5535636
653,1.6655868
654,1.5908153
655,1.6643722
656,1.5607402
657,1.748898
658,1.8268291
659,1.7284797
660,1.6849188
661,1.7625972
662,1.7679908
663,2.0560875
664,1.5092562
665,1.7463187
666,1.8687596
667,1.7332028
668,1.7161111
669,1.8032695
670,1.581331
671,1.6630256
672,1.7618222
673,1.538351
674,1.5847043
675,1.5774885
676,1.527081
677,1.6110466
678,1.544234
679,1.5223953
680,1.6785033
681,1.5082974
682,1.6800703
683,1.5433493
684,1.4245219
685,1.6271086
686,1.4873222
687,1.9178431
688,1.7001356
689,1.7519494
690,1.7239244
691,1.3775733
692,1.8162597
693,1.5752337
694,1.3286132
695,1.3002219
696,1.4458438
697,1.6605939
698,1.4477326
699,1.3031242
700,1.7042313
701,1.3797642
702,1.5873556
703,1.6044934
704,1.5575438
705,1.3975127
706,1.5407807
707,1.8193718
708,1.6569185
709,1.7518536
710,1.4542421
711,1.6884626
712,1.6615301
713,1.6153921
714,1.9761665
715,1.7654349
716,1.7198296
717,1.6750003
718,1.5082067
719,2.0548024
720,1.923866
721,1.6507474
722,1.4395611
723,1.6646521
724,1.5086347
725,1.6415985
726,1.5686835
727,1.724461
728,1.5656444
729,1.6549456
730,1.7853042
731,1.7809327
732,1.5964731
733,1.6075306
734,1.4757929
735,1.6530828
736,1.4756584
737,1.6730723
738,1.601814
739,1.8323154
740,1.8219496
741,1.5396342
742,1.5261787
743,1.5247811
744,1.6554391
745,1.5625166
746,1.5762215
747,1.4488729
748,1.5681206
749,1.4571645
750,1.7455571
751,1.3185265
752,1.5426857
753,1.5237613
754,1.8135132
755,1.3653811
756,1.2482451
757,1.5557753
758,1.4025426
759,1.5066134
760,1.5804346
761,1.3993998
762,1.5837239
763,1.7752012
764,1.6671759
765,1.6879772
766,1.657776
767,1.5721473
768,1.3346878
769,1.5863701
770,1.7027211
771,1.7500772
772,1.5387112
773,1.6167552
774,1.3559119
775,1.3049717
776,1.6916659
777,1.742941
778,1.6141152
779,1.5741144
780,1.6277606
781,1.7676378
782,1.5804396
783,1.7893007
784,1.9666742
785,1.4366531
786,1.5156133
787,1.7512635
788,1.7234701
789,1.6566663
790,1.592027
791,1.5677954
792,1.5171702
793,1.6214126
794,1.7330378
795,1.6383961
796,1.41878
797,1.574507
798,1.4679339
799,1.4689145
800,1.9031209
801,1.5827918
802,1.7553856
803,1.6806474
804,1.624679
805,1.7161254
806,1.5053235
807,1.6919469
808,1.735121
809,1.9013953
810,1.5711838
811,1.6173325
812,1.8202837
813,1.785882
814,1.8087894
815,1.7328614
816,1.5393729
817,1.8224713
818,1.5162259
819,1.846366
820,1.8006543
821,1.8344235
822,1.5585376
823,1.5060337
824,1.7843689
825,1.5696687
826,2.05554
827,1.8024023
828,1.7226521
829,1.379577
830,1.717989
831,1.6660517
832,1.7179364
833,1.8522915
834,1.7273022
835,1.8578162
836,1.8937752
837,1.6805751
838,1.6287286
839,1.7969823
840,1.918346
841,1.4627854
842,1.5091013
843,1.5650766
844,1.5567083
845,1.516972
846,1.5178101
847,1.4450006
848,1.3334403
849,1.3517488
850,1.6984318
851,1.4357159
852,1.7457037
853,1.6058823
854,1.637345
855,1.5923914
856,1.5187907
857,1.5532693
858,1.5166633
859,2.0142624
860,1.4486698
861,1.5752567
862,1.8360558
863,1.7732226
864,1.7500852
865,1.5461118
866,1.4607697
867,1.7248306
868,1.546906
869,1.5606843
870,1.3890014
871,1.5523304
872,1.7850778
873,1.4908504
874,1.9597203
875,1.5031668
876,1.4682811
877,1.8187728
878,1.6797807
879,1.6033059
880,1.4003061
881,1.4622105
882,1.6431185
883,1.5393333
884,1.6557418
885,1.6380663
886,1.8410497
887,1.5111157
888,1.3831738
889,1.6677396
890,1.4921956
891,1.3448355
892,1.6277672
893,1.5441306
894,1.7567428
895,1.5769081
896,1.4948791
897,1.5290928
898,1.6431025
899,1.4067029
900,1.6458812
901,1.2952056
902,1.6737564
903,1.6033405
904,1.6092
905,1.819302
906,1.5246077
907,1.6562047
908,1.6674823
909,1.4105169
910,1.5273119
911,1.6413803
912,1.3980973
913,1.4357761
914,1.3866886
915,1.6108636
916,1.3417106
917,1.6447107
918,1.432175
919,1.5644381
920,1.5329151
921,1.616396
922,1.567823
923,1.3166217
924,1.3322134
925,1.3954866
926,1.3258095
927,1.6099623
928,1.3712751
929,1.3241174
930,1.5725037
931,1.399588
932,1.6897752
933,1.4155922
934,1.4803426
935,1.2189912
936,1.5022794
937,1.5114238
938,1.3823466
939,1.379542
940,1.5396174
941,1.6620543
942,1.7780197
943,1.5757927
944,1.5278758
945,1.5834346
946,1.5267116
947,1.5037661
948,1.5530388
949,1.4132898
950,1.6514758
951,1.5419285
952,1.3743359
953,1.3119812
954,1.4376205
955,1.4899079
956,1.5983948
957,1.4773573
958,1.7057023
959,1.7767428
960,1.4199739
961,1.3199205
962,1.3935913
963,1.5022177
964,1.4076054
965,1.5885897
966,1.4796377
967,1.7644329
968,1.6125668
969,1.4627117
970,1.4545177
971,1.6030099
972,1.349249
973,1.5578855
974,1.4195789
975,1.5036293
976,1.4938675
977,1.5529462
978,1.6183592
979,1.4525592
980,1.4594313
981,1.5531915
982,1.5688249
983,1.366607
984,1.080709
985,1.5935218
986,1.6089283
987,1.7791995
988,1.4224955
989,1.450521
990,1.0922922
991,1.2112764
992,1.3213788
993,1.1809936
994,1.2411449
995,1.3717006
996,1.5412517
997,1.4956913
998,1.2150848
999,1.0022906
1000,1.3600501
1001,1.3753552
1002,1.1677141
1003,1.5461904
1004,1.2460476
1005,1.3136964
1006,1.2105412
1007,1.595338
1008,1.5350001
1009,1.6135348
1010,1.2614155
1011,1.3176888
1012,1.345124
1013,1.3160323
