,wc
449,170.77255
450,177.70572
451,196.7938
452,152.40244
453,179.18698
454,338.95218
455,267.215
456,294.18097
457,164.62067
458,235.81433
459,171.64636
460,322.07977
461,281.96918
462,214.77359
463,327.55792
464,165.68216
465,127.57083
466,362.28757
467,165.09512
468,240.41367
469,206.00302
470,297.38266
471,162.45728
472,187.22421
473,377.7132
474,101.606384
475,259.80243
476,220.52841
477,167.39929
478,128.2692
479,174.6199
480,208.48761
481,361.80484
482,90.77319
483,203.66666
484,134.15057
485,161.13998
486,148.86511
487,175.66962
488,218.56693
489,200.6088
490,152.8652
491,179.57718
492,107.3913
493,138.14389
494,114.84143
495,205.91699
496,194.12656
497,97.70459
498,214.5776
499,184.67075
500,146.3414
501,130.10748
502,98.15924
503,149.24704
504,234.00613
505,207.6232
506,245.70139
507,143.01941
508,114.48862
509,104.21716
510,103.12866
511,182.86438
512,129.16013
513,163.60364
514,160.1506
515,194.66327
516,213.84543
517,255.84262
518,186.32419
519,157.39062
520,148.07654
521,156.54706
522,194.47504
523,93.440704
524,91.04477
525,139.46674
526,225.10397
527,322.73935
528,115.04758
529,167.46243
530,179.71982
531,145.80997
532,291.7812
533,187.25772
534,346.44125
535,146.60574
536,178.4566
537,118.61337
538,75.51654
539,94.875275
540,323.15576
541,228.30423
542,174.7351
543,126.06229
544,167.96555
545,204.65833
546,176.88654
547,152.53735
548,123.85925
549,161.18796
550,157.75394
551,103.44714
552,84.42563
553,108.408325
554,104.61621
555,138.52066
556,80.53543
557,115.13971
558,109.29657
559,78.70776
560,226.71991
561,63.52472
562,144.02112
563,81.29895
564,134.27563
565,190.12799
566,212.14944
567,110.9122
568,121.14407
569,60.43741
570,129.2161
571,116.15253
572,164.78662
573,167.71707
574,167.55545
575,145.91513
576,142.04059
577,190.22302
578,188.69861
579,100.12036
580,170.90686
581,105.35269
582,163.93936
583,197.41788
584,183.65472
585,120.053925
586,179.2113
587,96.17685
588,176.03522
589,134.96396
590,110.867096
591,258.61813
592,143.60739
593,205.57275
594,261.61298
595,134.8805
596,158.54059
597,156.33499
598,131.74615
599,82.353455
600,144.7591
601,74.4736
602,152.47766
603,149.4921
604,140.706
605,167.926
606,187.92484
607,82.67871
608,68.00568
609,148.68127
610,128.38925
611,113.483215
612,79.32788
613,102.65042
614,46.688812
615,144.45071
616,71.53827
617,101.75229
618,106.70734
619,106.73062
620,73.88736
621,79.20261
622,61.80139
623,167.54642
624,91.13199
625,103.66507
626,184.45657
627,109.09622
628,91.37402
629,65.43466
630,85.68756
631,117.60831
632,135.4708
633,74.69299
634,187.7367
635,193.38272
636,144.43274
637,177.66019
638,100.32028
639,87.932434
640,199.90616
641,122.737
642,138.31903
643,114.148254
644,106.83142
645,132.7391
646,94.24176
647,162.6529
648,125.31317
649,78.37695
650,82.04678
651,127.82492
652,149.04034
653,196.01462
654,78.26868
655,160.41711
656,84.14795
657,96.61093
658,78.15311
659,110.586945
660,166.03986
661,166.6719
662,129.70938
663,87.382996
664,121.85608
665,66.62387
666,117.71384
667,74.60846
668,89.27634
669,84.220276
670,102.52283
671,81.22806
672,47.0766
673,56.192078
674,80.138855
675,71.33597
676,69.33551
677,103.03519
678,53.42682
679,71.90094
680,77.40503
681,90.28906
682,52.865723
683,88.540955
684,66.78366
685,143.30212
686,159.77478
687,70.243835
688,128.99261
689,63.73044
690,49.697693
691,118.810974
692,175.90216
693,79.28192
694,138.72342
695,124.440765
696,126.96164
697,162.03989
698,86.25571
699,109.0007
700,114.669586
701,91.88086
702,102.885376
703,167.20279
704,150.82562
705,94.249725
706,148.30457
707,63.05191
708,124.039276
709,167.5669
710,117.589325
711,57.707214
712,176.84888
713,174.57571
714,112.00482
715,190.41739
716,89.27753
717,73.86337
718,49.03604
719,85.00351
720,149.13861
721,87.1391
722,85.32669
723,73.543884
724,61.558258
725,125.51691
726,72.48364
727,82.55548
728,103.83679
729,24.386963
730,139.36191
731,45.79663
732,48.536194
733,49.76935
734,46.657654
735,47.15329
736,49.73822
737,83.663605
738,42.838806
739,64.228546
740,137.23743
741,41.47
742,32.334198
743,84.17621
744,21.324432
745,152.81015
746,88.65637
747,69.45001
748,98.13754
749,47.54117
750,53.01474
751,60.19995
752,84.36203
753,58.97348
754,93.86124
755,76.163635
756,76.722534
757,129.20349
758,71.35202
759,62.606873
760,62.300873
761,102.23831
762,139.113
763,85.30011
764,78.207825
765,109.20364
766,195.44678
767,60.582184
768,52.928772
769,90.25687
770,45.973694
771,122.86014
772,39.67636
773,92.2699
774,57.267914
775,79.382385
776,77.423645
777,87.93524
778,55.56137
779,88.14426
780,118.41165
781,63.484344
782,41.59143
783,51.7128
784,34.989746
785,48.128754
786,122.56113
787,40.629944
788,67.392334
789,47.45273
790,87.960754
791,36.430603
792,22.206573
793,76.25571
794,40.103485
795,46.371094
796,48.605988
797,73.43994
798,34.904663
799,45.203186
800,72.84976
801,39.121033
802,27.01712
803,72.50632
804,54.28418
805,107.546265
806,122.54114
807,64.609344
808,40.358704
809,45.573547
810,19.856903
811,62.103424
812,92.92474
813,47.93396
814,74.07736
815,56.50937
816,72.62726
817,59.588196
818,89.72034
819,30.746582
820,66.35068
821,56.526154
822,97.00812
823,28.265045
824,106.293
825,121.49783
826,54.191223
827,37.969086
828,74.04941
829,47.479156
830,57.92874
831,66.67267
832,50.87625
833,118.84506
834,89.16968
835,106.39053
836,43.030396
837,32.151276
838,56.01169
839,91.321075
840,114.349304
841,44.037537
842,49.464935
843,45.698975
844,53.74646
845,66.42288
846,29.959717
847,88.81647
848,28.981628
849,62.335144
850,44.711304
851,21.952454
852,14.264801
853,44.747192
854,24.509094
855,64.26239
856,45.22284
857,44.240204
858,42.380188
859,52.33963
860,36.955566
861,40.126984
862,51.20871
863,28.613586
864,34.088074
865,91.155
866,28.075378
867,104.02496
868,68.806915
869,20.734467
870,35.64096
871,35.311646
872,52.027863
873,54.376526
874,40.606262
875,44.981323
876,42.137604
877,53.250244
878,89.453705
879,43.22586
880,62.629333
881,84.92001
882,37.41327
883,38.375305
884,16.718414
885,73.26166
886,46.214233
887,61.53647
888,71.23468
889,38.94272
890,23.625336
891,55.1781
892,120.19318
893,82.96918
894,73.32309
895,109.74979
896,43.247284
897,53.3136
898,43.97174
899,42.669617
900,92.793396
901,27.233063
902,48.62442
903,31.263245
904,36.10495
905,35.133514
906,49.26056
907,21.115051
908,46.81671
909,23.306824
910,25.735199
911,39.60724
912,19.389252
913,17.925415
914,28.363739
