,acc
0,19.91991991991992
1,24.662331165582792
2,26.842280760253416
3,28.0320080020005
4,29.385877175435088
5,30.555092515419236
6,31.44734962137448
7,32.304038004750595
8,33.10367818646516
9,33.903390339033905
10,34.51222838439858
11,35.2112676056338
12,35.77198246018924
13,36.20258589899279
14,36.909127275151675
15,37.358584911556974
16,37.90811224189658
17,38.4632479582199
18,38.928364650771094
19,39.376968848442424
20,39.673317777037
21,40.11545979362698
22,40.46697682507935
23,40.81420059169132
24,41.28965158606344
25,41.651601984691716
26,41.95710952257491
27,42.22650808957463
28,42.47732680437257
29,42.798093269775656
30,43.15945675666957
31,43.451357854932965
32,43.61950362132186
33,43.845407217859346
34,44.078402240064
35,44.326231284202336
36,44.57417768047785
37,44.74065106976499
38,45.06012974691659
39,45.19362984074602
40,45.437693602282984
41,45.603466749208316
42,45.74059861857253
43,45.9010432055274
44,46.05657903508967
45,46.307528424530965
46,46.49673397306326
47,46.67805579282902
48,46.98055062348211
49,47.15494309886198
50,57.35735735735736
51,55.577788894447224
52,56.21873957985996
53,56.81420355088772
54,56.03120624124825
55,56.342723787297885
56,56.308044006286615
57,56.507063382922865
58,57.00633403711524
59,57.165716571657164
60,57.00518228929903
61,57.229769147428954
62,57.0659281483191
63,57.13979569969283
64,57.07047136475765
65,57.18482405150322
66,57.35631507735749
67,57.453191843991334
68,57.566187694089166
69,57.55287764388219
70,57.71703414448307
71,57.68444020182736
72,57.759033001434844
73,57.93574732280511
74,58.03032121284851
75,58.175314435170584
76,58.17993259009593
77,58.269938212079005
78,58.31235559846891
79,58.395279842661424
80,58.543823994322395
81,58.60495640488765
82,58.62601897027183
83,58.698785258389954
84,58.795965599017116
85,58.88774688185783
86,58.86645585015811
87,58.943656412010846
88,58.9425369881279
89,58.991474786869674
90,59.028268982170296
91,59.10855020357628
92,59.15021279564641
93,59.19452714834428
94,59.31020689348652
95,59.394769451509816
96,59.43743483903913
97,59.526240130002705
98,59.599175493377416
99,59.681193623872474
100,61.46146146146146
101,62.48124062031015
102,62.82094031343781
103,62.76569142285572
104,62.55251050210042
105,62.39373228871479
106,62.53750535790827
107,62.79534941867733
108,63.16257361929103
109,63.016301630163014
110,63.09664514955905
111,63.11359279939995
112,63.189476113547194
113,63.05450389313523
114,63.04420294686312
115,62.89768110506907
116,62.93899641155362
117,62.98683260181121
118,63.08753092268014
119,63.12815640782039
120,63.21729606171723
121,63.28469475885267
122,63.42014870211748
123,63.4734780615859
124,63.518540741629664
125,63.529366514096694
126,63.52827882514167
127,63.69156041287189
128,63.77461291768682
129,63.868795626520885
130,63.814961772960416
131,63.82074439826245
132,63.84738931482772
133,63.86658431130327
134,63.87039629703706
135,63.885107919664435
136,63.8963215222033
137,63.89904997499934
138,63.92984435498346
139,63.99909997749944
140,64.02107368472402
141,64.06343008166861
142,64.04334984534525
143,64.07191072524375
144,64.13253627858397
145,64.20139568251484
146,64.24392008340602
147,64.315923248401
148,64.39315088063022
149,64.41328826576532
150,67.66766766766767
151,67.53376688344171
152,66.5888629543181
153,66.61665416354089
154,67.21344268853771
155,66.77779629938323
156,67.32390341477354
157,67.35841980247531
158,67.18524280475609
159,67.37673767376738
160,67.3697608873534
161,67.03058588215684
162,67.04361873990307
163,66.97621258661333
164,66.93779585305687
165,66.93543346459154
166,67.15689158185775
167,67.1426190343908
168,67.00878993631244
169,66.90334516725837
170,66.80318110386209
171,66.88031274148825
172,66.9594330188269
173,67.02779282470102
174,67.00668026721068
175,67.03334743643987
176,66.9172932330827
177,67.0023929426051
178,66.95748129245835
179,67.00223340778025
180,67.03764637568953
181,67.07084596393638
182,67.10203339495136
183,67.13432748022001
184,67.09905997314209
185,67.14908747465208
186,67.06127192626828
187,67.10176583594306
188,67.09402805200133
189,67.09417735443387
190,67.11383204468402
191,67.11112169337365
192,67.12016558524617
193,67.133343939635
194,67.16815929242873
195,67.17754733798562
196,67.21206834187961
197,67.25348444759265
198,67.37280352660258
199,67.40734814696295
200,68.46846846846847
201,69.03451725862932
202,69.72324108036013
203,69.19229807451863
204,68.73374674934988
205,68.91148524754125
206,69.06700957279611
207,69.15864483060382
208,69.0965662851428
209,69.16691669166917
210,69.40630966451495
211,69.13909492457705
212,68.98222940226171
213,68.80491463675976
214,68.82458830588706
215,68.82305144071505
216,68.85699158774045
217,68.85382521251181
218,68.78256750355281
219,68.75843792189609
220,68.74136863660175
221,68.7803991090504
222,68.71603113178834
223,68.72786366098588
224,68.77075083003321
225,68.80264625562522
226,68.79514056076151
227,68.8203150112504
228,68.8851339701369
229,68.98229940998033
230,68.95061131004226
231,68.94277946185818
232,68.8505712294312
233,68.87849642636549
234,68.81053744392698
235,68.7991333092586
236,68.82888726722344
237,68.83865364878024
238,68.80432831611067
239,68.7942198554964
240,68.81143442522989
