,wc
403,0.57216686
404,0.6109064
405,0.49992433
406,0.607702
407,0.65817356
408,0.7450037
409,0.60715216
410,0.6755788
411,0.6454704
412,0.6209488
413,0.6058542
414,0.7134757
415,0.65831584
416,0.57156014
417,0.6419651
418,0.54446715
419,0.76010746
420,0.6188404
421,0.72002906
422,0.6249211
423,0.54983145
424,0.7146062
425,0.57272166
426,0.6771002
427,0.4561432
428,0.57653785
429,0.65337735
430,0.5221806
431,0.62413234
432,0.4840693
433,0.5369844
434,0.6170119
435,0.71659803
436,0.5595663
437,0.5568308
438,0.6041514
439,0.57840943
440,0.58490777
441,0.59050566
442,0.45589656
443,0.6498374
444,0.47190493
445,0.61853856
446,0.43988237
447,0.53383416
448,0.43489513
449,0.6178456
450,0.6062392
451,0.57709265
452,0.63441205
453,0.5996422
454,0.7286078
455,0.58009505
456,0.66520756
457,0.4975483
458,0.5153573
459,0.6444591
460,0.57815576
461,0.5097189
462,0.44728753
463,0.4673074
464,0.6265098
465,0.5266825
466,0.6866647
467,0.66777414
468,0.5666375
469,0.6269745
470,0.68733525
471,0.82218486
472,0.55359036
473,0.64128286
474,0.55349684
475,0.56333697
476,0.5407761
477,0.560411
478,0.5865901
479,0.6346949
480,0.67675734
481,0.5926591
482,0.5845117
483,0.6114216
484,0.5583313
485,0.6725613
486,0.6174314
487,0.50108373
488,0.48350453
489,0.5588991
490,0.55140615
491,0.5245457
492,0.5722017
493,0.610365
494,0.5813417
495,0.53479534
496,0.69325787
497,0.48771676
498,0.58086854
499,0.5995809
500,0.5281574
501,0.55150217
502,0.5637855
503,0.6666262
504,0.43192786
505,0.4858362
506,0.5577012
507,0.5418989
508,0.44082415
509,0.5461807
510,0.50264966
511,0.7253716
512,0.45624578
513,0.4990488
514,0.60426044
515,0.4794497
516,0.48191
517,0.4837305
518,0.5137655
519,0.5359616
520,0.5413009
521,0.51137894
522,0.3797028
523,0.43802512
524,0.5250087
525,0.40269104
526,0.61676824
527,0.47672558
528,0.519668
529,0.44993442
530,0.453452
531,0.5868924
532,0.66637987
533,0.49537447
534,0.59415174
535,0.56534463
536,0.64120424
537,0.5584042
538,0.5495678
539,0.44927448
540,0.45347735
541,0.6084927
542,0.48246983
543,0.44088337
544,0.547761
545,0.42652708
546,0.49774075
547,0.4940662
548,0.58028525
549,0.3928157
550,0.43439338
551,0.2999487
552,0.5254771
553,0.48832458
554,0.4409399
555,0.45635095
556,0.49456215
557,0.52386475
558,0.41715205
559,0.58491623
560,0.52384734
561,0.31746262
562,0.4693367
563,0.46326357
564,0.55797327
565,0.3808797
566,0.30728507
567,0.3970299
568,0.37694365
569,0.45814285
570,0.45873383
571,0.5025423
572,0.4100951
573,0.40601262
574,0.39827186
575,0.48954895
576,0.4203878
577,0.4442462
578,0.44247025
579,0.47821215
580,0.4302444
581,0.3836712
582,0.32580394
583,0.35176283
584,0.4123888
585,0.4786147
586,0.5340733
587,0.34644637
588,0.4439165
589,0.48689854
590,0.49482486
591,0.49551052
592,0.40600514
593,0.46386856
594,0.45346248
595,0.41042328
596,0.3690318
597,0.4216071
598,0.42154184
599,0.4713652
600,0.45417222
601,0.52982277
602,0.41157764
603,0.38962963
604,0.39357084
605,0.40521708
606,0.35190365
607,0.45071396
608,0.38152418
609,0.31517327
610,0.33157483
611,0.3536489
612,0.43202722
613,0.6404158
614,0.47497913
615,0.3129024
616,0.4176921
617,0.43274954
618,0.38480464
619,0.44769025
620,0.34915492
621,0.3602309
622,0.4595421
623,0.34839118
624,0.34907782
625,0.3700947
626,0.44561562
627,0.29689762
628,0.37176436
629,0.38181713
630,0.328385
631,0.4417408
632,0.34825563
633,0.34215418
634,0.36111978
635,0.46193904
636,0.42720938
637,0.3769867
638,0.38036218
639,0.43230453
640,0.35812563
641,0.34782866
642,0.3832219
643,0.30487406
644,0.40416753
645,0.58090544
646,0.42547467
647,0.44564185
648,0.4179974
649,0.35630327
650,0.5329213
651,0.3677461
652,0.39851084
653,0.3088853
654,0.39044032
655,0.28392863
656,0.34082332
657,0.45787358
658,0.38315326
659,0.4209359
660,0.30985457
661,0.39530456
662,0.3527516
663,0.36368847
664,0.3037767
665,0.3528636
666,0.4128658
667,0.31520903
668,0.3008558
669,0.34655127
670,0.30721065
671,0.31362656
672,0.29637128
673,0.41473845
674,0.27148613
675,0.39542383
676,0.31768456
677,0.37171105
678,0.3986898
679,0.3772861
680,0.4391514
681,0.31159797
682,0.33248323
683,0.43716228
684,0.32392198
685,0.25277486
686,0.2849826
687,0.17266975
688,0.25107142
689,0.2611928
690,0.35189104
691,0.3742483
692,0.3312827
693,0.3286511
694,0.29436055
695,0.28454033
696,0.3253643
697,0.22541945
698,0.24343237
699,0.25194794
700,0.3231861
701,0.3390699
702,0.28676584
703,0.17727022
704,0.31358743
705,0.3161944
706,0.36934075
707,0.24088928
708,0.2754774
709,0.3309858
710,0.21322641
711,0.2392415
712,0.2794917
713,0.20086114
714,0.22675616
715,0.28184494
716,0.26977512
717,0.37240267
718,0.2250914
719,0.3413896
720,0.3116588
721,0.31791902
722,0.26850638
723,0.26914707
724,0.25768942
725,0.24992722
726,0.32444966
727,0.23976286
728,0.2160751
729,0.24387532
730,0.26182643
731,0.21514748
732,0.22146575
733,0.31915286
